Admission Number,Full Name,Class Standard,Class Section,Gender,Father Name,Mother Name,Email,Mobile1,Mobile2,Mobile3,Mobile4,Mobile5,DOB,Morning Bus Route,Evening Bus Route
2,keshav1,8,A,Male,xyz,xyz,123@gmail.com,9999999999,,,,,01-02-1991,403,405
3,keshav2,8,A,Male,xyz,xyz,124@gmail.com,9999999999,,,,,01-02-1991,403,405
4,keshav3,8,A,Male,xyz,xyz,125@gmail.com,9999999999,,,,,01-02-1991,403,405
5,keshav4,8,A,Male,xyz,xyz,126@gmail.com,9999999999,,,,,01-02-1991,403,405
6,keshav5,8,A,Male,xyz,xyz,127@gmail.com,9999999999,,,,,01-02-1991,403,405
7,keshav6,8,A,Male,xyz,xyz,128@gmail.com,9999999999,,,,,01-02-1991,403,405
8,keshav7,8,A,Female,xyz,xyz,129@gmail.com,9999999999,,,,,01-02-1991,409,405
9,keshav8,8,A,Female,xyz,xyz,130@gmail.com,9999999999,,,,,01-02-1991,409,405
10,keshav9,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,01-02-1991,409,405
11,keshav10,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,01-03-1991,409,405
12,keshav11,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,01-04-1991,409,405
13,keshav12,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,01-05-1991,409,405
14,keshav13,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,01-06-1991,409,405
15,keshav14,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,01-07-1991,409,405
16,keshav15,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,01-08-1991,409,405
17,keshav16,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,01-09-1991,409,405
18,keshav17,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,01-10-1991,409,405
19,keshav18,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,01-11-1991,409,405
20,keshav19,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,01-12-1991,409,405
21,keshav20,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,1/13/1991,409,405
22,keshav21,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,1/14/1991,409,405
23,keshav22,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,1/15/1991,409,405
24,keshav23,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,1/16/1991,409,405
25,keshav24,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,1/17/1991,409,405
26,keshav25,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,1/18/1991,409,405
27,keshav26,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,1/19/1991,409,405
28,keshav27,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,1/20/1991,409,405
29,keshav28,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,1/21/1991,409,405
30,keshav29,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,1/22/1991,409,405
31,keshav30,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,1/23/1991,409,405
32,keshav31,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,1/24/1991,409,405
33,keshav32,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,1/25/1991,409,405
34,keshav33,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,1/26/1991,409,405
35,keshav34,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,1/27/1991,409,405
36,keshav35,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,1/28/1991,409,405
37,keshav36,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,1/29/1991,409,405
38,keshav37,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,1/30/1991,409,405
39,keshav38,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,1/31/1991,409,405
40,keshav39,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,02-01-1991,409,405
41,keshav40,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,02-02-1991,409,405
42,keshav41,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,02-03-1991,409,405
43,keshav42,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,02-04-1991,409,405
44,keshav43,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,02-05-1991,409,405
45,keshav44,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,02-06-1991,409,405
46,keshav45,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,02-07-1991,409,405
47,keshav46,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,02-08-1991,409,405
48,keshav47,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,02-09-1991,409,405
49,keshav48,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,02-10-1991,409,405
50,keshav49,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,02-11-1991,409,405
51,keshav50,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,02-12-1991,409,405
52,keshav51,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,2/13/1991,409,405
53,keshav52,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,2/14/1991,409,405
54,keshav53,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,2/15/1991,409,405
55,keshav54,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,2/16/1991,409,405
56,keshav55,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,2/17/1991,409,405
57,keshav56,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,2/18/1991,409,405
58,keshav57,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,2/19/1991,409,405
59,keshav58,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,2/20/1991,409,405
60,keshav59,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,2/21/1991,409,405
61,keshav60,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,2/22/1991,409,405
62,keshav61,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,2/23/1991,409,405
63,keshav62,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,2/24/1991,409,405
64,keshav63,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,2/25/1991,409,405
65,keshav64,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,2/26/1991,409,405
66,keshav65,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,2/27/1991,409,405
67,keshav66,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,2/28/1991,409,405
68,keshav67,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,03-01-1991,409,405
69,keshav68,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,03-02-1991,409,405
70,keshav69,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,03-03-1991,409,405
71,keshav70,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,03-04-1991,409,405
72,keshav71,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,03-05-1991,409,405
73,keshav72,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,03-06-1991,409,405
74,keshav73,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,03-07-1991,409,405
75,keshav74,8,A,Female,xyz,xyz,167@gmail.com,9999999999,,,,,03-08-1991,409,405
