Full Name,Department,Gender,Email,Mobile1,Mobile2,Mobile3,Mobile4,Mobile5,DOB,Morning Bus Route,Evening Bus Route
Naveen1,English,Male,naveen@gmail.com,9999999999,,,,,2/1/1980,400,700
Naveen2,English,Male,naveen@gmail.com,9999999999,,,,,2/2/1980,400,700
Naveen3,English,Male,naveen@gmail.com,9999999999,,,,,2/3/1980,400,700
Naveen4,English,Male,naveen@gmail.com,9999999999,,,,,2/4/1980,400,700
Naveen5,English,Male,naveen@gmail.com,9999999999,,,,,2/5/1980,400,700
Naveen6,English,Male,naveen@gmail.com,9999999999,,,,,2/6/1980,400,700
Naveen7,English,Male,naveen@gmail.com,9999999999,,,,,2/7/1980,400,700
Naveen8,English,Male,naveen@gmail.com,9999999999,,,,,2/8/1980,400,700
Naveen9,English,Male,naveen@gmail.com,9999999999,,,,,2/9/1980,400,700
Naveen10,Hindi,Male,naveen@gmail.com,9999999999,,,,,2/10/1980,400,700
Naveen11,Hindi,Male,naveen@gmail.com,9999999999,,,,,2/11/1980,400,700
Naveen12,Hindi,Male,naveen@gmail.com,9999999999,,,,,2/12/1980,400,700
Naveen13,Hindi,Male,naveen@gmail.com,9999999999,,,,,2/13/1980,400,700
Naveen14,Hindi,Male,naveen@gmail.com,9999999999,,,,,2/14/1980,500,700
Naveen15,Hindi,Male,naveen@gmail.com,9999999999,,,,,2/15/1980,500,700
Naveen16,Hindi,Male,naveen@gmail.com,9999999999,,,,,2/16/1980,500,700
Naveen17,Hindi,Male,naveen@gmail.com,9999999999,,,,,2/17/1980,500,700
Naveen18,Hindi,Male,naveen@gmail.com,9999999999,,,,,2/18/1980,500,700
Naveen19,Hindi,Male,naveen@gmail.com,9999999999,,,,,2/19/1980,500,700
Naveen20,Social,Male,naveen@gmail.com,9999999999,,,,,2/20/1980,500,700
Naveen21,Social,Male,naveen@gmail.com,9999999999,,,,,2/21/1980,500,700
Naveen22,Social,Male,naveen@gmail.com,9999999999,,,,,2/22/1980,500,700
Naveen23,Social,Male,naveen@gmail.com,9999999999,,,,,2/23/1980,500,700
Naveen24,Social,Male,naveen@gmail.com,9999999999,,,,,2/24/1980,500,1000
Naveen25,Social,Male,naveen@gmail.com,9999999999,,,,,2/25/1980,500,1000
Naveen26,Social,Male,naveen@gmail.com,9999999999,,,,,2/26/1980,500,1000
Naveen27,Social,Male,naveen@gmail.com,9999999999,,,,,2/27/1980,500,1000
Naveen28,Social,Male,naveen@gmail.com,9999999999,,,,,2/28/1980,500,1000
Naveen29,Social,Male,naveen@gmail.com,9999999999,,,,,2/29/1980,500,1000
Naveen30,Games,Male,naveen@gmail.com,9999999999,,,,,3/1/1980,500,1000
Naveen31,Games,Male,naveen@gmail.com,9999999999,,,,,3/2/1980,500,1000
Naveen32,Games,Male,naveen@gmail.com,9999999999,,,,,3/3/1980,500,1000
Naveen33,Games,Male,naveen@gmail.com,9999999999,,,,,3/4/1980,500,1000
Naveen34,Games,Male,naveen@gmail.com,9999999999,,,,,3/5/1980,500,1000
Naveen35,Games,Male,naveen@gmail.com,9999999999,,,,,3/6/1980,500,1000
Naveen36,Games,Male,naveen@gmail.com,9999999999,,,,,3/7/1980,500,1000
Naveen37,Games,Male,naveen@gmail.com,9999999999,,,,,3/8/1980,500,1000
Naveen38,Games,Male,naveen@gmail.com,9999999999,,,,,3/9/1980,500,1000
Naveen39,Games,Male,naveen@gmail.com,9999999999,,,,,3/10/1980,500,1000
Naveen40,Sanskrit,Male,naveen@gmail.com,9999999999,,,,,3/11/1980,500,1000
Naveen41,Sanskrit,Male,naveen@gmail.com,9999999999,,,,,3/12/1980,500,1000
Naveen42,Sanskrit,Male,naveen@gmail.com,9999999999,,,,,3/13/1980,500,1000
Naveen43,Sanskrit,Male,naveen@gmail.com,9999999999,,,,,3/14/1980,500,1000
Naveen44,Sanskrit,Male,naveen@gmail.com,9999999999,,,,,3/15/1980,500,1000
Naveen45,Sanskrit,Male,naveen@gmail.com,9999999999,,,,,3/16/1980,500,1000
Naveen46,Sanskrit,Male,naveen@gmail.com,9999999999,,,,,3/17/1980,800,1000
Naveen47,Sanskrit,Male,naveen@gmail.com,9999999999,,,,,3/18/1980,800,1000
Naveen48,Sanskrit,Male,naveen@gmail.com,9999999999,,,,,3/19/1980,800,1000
Naveen49,Sanskrit,Male,naveen@gmail.com,9999999999,,,,,3/20/1980,800,1000
